"S1","S2","S3","EC"
0.911361,-0.355607,0.20728,77325.225
0.910478,-0.357313,0.208223,77794.975
0.910027,-0.357638,0.209635,77009.9
0.909882,-0.357949,0.209731,77586.25
0.909742,-0.357594,0.210942,77337.3
0.909326,-0.357971,0.212092,77740.775
0.908915,-0.359783,0.210784,77228.775
0.908915,-0.359783,0.210784,77380.325
0.908943,-0.358871,0.212213,77266.7
0.908655,-0.358635,0.213838,77820.55
0.908664,-0.358766,0.213581,76823.875
0.908428,-0.359351,0.2136,77571.625
0.908828,-0.358715,0.212967,77371.725
0.908682,-0.359027,0.213067,77632.75
0.908612,-0.359248,0.212989,77088.725
0.909036,-0.358328,0.212731,77327.1
0.90935,-0.35765,0.212532,77417.725
0.909782,-0.356267,0.213004,78029.025
0.909705,-0.356356,0.213183,76955.975
0.910669,-0.354558,0.212062,77646.875
0.910974,-0.353741,0.212119,77535.575
0.91096,-0.354157,0.211484,77895.1
0.911382,-0.353281,0.211128,77125
0.911887,-0.352487,0.210274,77613.4
0.91105,-0.354297,0.210856,77406.225
0.911169,-0.354274,0.210383,78027.6
0.91163,-0.353416,0.209828,77275.05
0.912074,-0.351668,0.210833,77557.275
0.912568,-0.351407,0.209126,77264.025
0.912563,-0.351985,0.208172,77661.3
0.912112,-0.352974,0.208471,77365.475
0.912958,-0.351412,0.207405,77544.375
0.913075,-0.351441,0.206841,77232.925
0.91261,-0.352132,0.207716,77706.625
0.912981,-0.350469,0.208897,77254.95
0.913393,-0.349547,0.208638,77486
0.914263,-0.347831,0.207692,77477.3
0.914263,-0.347831,0.207692,77535.05
0.91451,-0.347354,0.207404,77499.475
0.914692,-0.346576,0.207904,77591.3
0.914671,-0.346857,0.207527,77559.65
0.914258,-0.347749,0.207853,77708.625
0.914232,-0.34732,0.208686,77524.825
0.913608,-0.348561,0.209347,77462.125
0.913918,-0.347869,0.209142,77696.225
0.91346,-0.348045,0.210847,77293.225
0.913096,-0.348537,0.211604,77526.225
0.912579,-0.348531,0.213833,77194.675
0.912244,-0.348873,0.214707,77605.425
0.912616,-0.347914,0.214684,77445.525
0.912946,-0.346936,0.21486,77412.325
0.912948,-0.346414,0.215692,77496.15
0.913073,-0.34543,0.216736,77644.025
0.914006,-0.343963,0.215135,77697.875
0.914006,-0.343963,0.215135,77521.35
0.914373,-0.343521,0.21428,77409.15
0.914649,-0.342388,0.214914,77584.725
0.914267,-0.343166,0.215295,77612
0.91469,-0.343456,0.213027,77293.875
0.914928,-0.342834,0.213005,77881.2
0.914946,-0.342551,0.213382,77484.45
0.915669,-0.340945,0.212853,77739.675
0.915692,-0.340187,0.213965,77394.15
0.915753,-0.339974,0.214042,77511.825
0.915814,-0.339761,0.214119,77709.075
0.915818,-0.339286,0.214853,77990.825
0.916315,-0.338468,0.214025,77218.775
0.915838,-0.339559,0.214336,77952.375
0.915838,-0.339559,0.214336,77523.45
0.915218,-0.340802,0.21501,77354.475
0.914826,-0.340946,0.216447,77531.1
0.91479,-0.34051,0.217284,77783.275
0.914827,-0.341448,0.215651,77584.15
0.914693,-0.341739,0.215757,77741.4
0.915065,-0.341322,0.214836,77113.5
0.915418,-0.34063,0.214432,77671.925
0.914964,-0.341493,0.214998,77627.05
0.914859,-0.342196,0.214324,77524.95
0.914399,-0.342528,0.215752,77240.325
0.914063,-0.342933,0.216533,77530.1
0.914582,-0.341856,0.216043,77639
0.913954,-0.343104,0.21672,77573.15
0.913937,-0.343389,0.216341,77276.55
0.914055,-0.34338,0.215857,77670.85
0.913949,-0.344082,0.215184,77864.275
0.913535,-0.345014,0.215448,77565.775
0.913564,-0.344865,0.215567,77437.825
0.91349,-0.344945,0.21575,77275.5
0.913554,-0.344729,0.215827,77516.7
0.913134,-0.346135,0.215354,77406.1
