"S1","S2","S3","EC"
0.86741,-0.460682,0.188074,97323.175
0.866931,-0.461431,0.188445,97113.375
0.86627,-0.462498,0.188871,96854
0.866006,-0.462802,0.189338,96337.15
0.865717,-0.463493,0.188966,97507.825
0.86542,-0.464284,0.188384,96901.55
0.86542,-0.464284,0.188384,97002.1
0.865252,-0.464716,0.188089,96175.875
0.865197,-0.464701,0.188381,97379.525
0.864528,-0.465727,0.188917,96852.45
0.864237,-0.466531,0.188264,96826.55
0.864059,-0.46699,0.18794,96186.5
0.863827,-0.467535,0.18765,96724.725
0.863671,-0.46799,0.187238,96908.925
0.86337,-0.468541,0.187247,96727.225
0.863081,-0.469116,0.187139,96152.325
0.862792,-0.469691,0.18703,97022.725
0.86281,-0.469489,0.187457,96962.8
0.862567,-0.469683,0.188085,96617.55
0.862652,-0.469941,0.187046,96603.25
0.862273,-0.470937,0.186291,96819.65
0.862059,-0.471217,0.186571,96827.5
0.861874,-0.471835,0.185862,96855.775
0.861883,-0.471978,0.185458,96665.3
0.861381,-0.472357,0.186823,96629.6
0.860747,-0.473692,0.18636,96947.175
0.860401,-0.474052,0.187044,97067.05
0.860735,-0.473726,0.18633,96612.95
0.860726,-0.473696,0.186446,96945.725
0.860174,-0.474325,0.187395,96953.625
0.860457,-0.474062,0.186758,96680.075
0.860564,-0.474154,0.186034,96708.6
0.860191,-0.474624,0.186558,96541.775
0.859469,-0.476074,0.186191,96851
0.859502,-0.476093,0.18599,96640.175
0.859265,-0.476377,0.186354,96512
0.85908,-0.476482,0.186937,96530.85
0.859745,-0.475577,0.186187,96823.875
0.859745,-0.475577,0.186187,96960.575
0.85952,-0.47592,0.18635,96795.85
0.859428,-0.47651,0.185262,96397.55
0.860003,-0.475856,0.184271,97124.175
0.85991,-0.476445,0.183182,96997.825
0.859532,-0.477229,0.182916,96915.45
0.859609,-0.477296,0.182374,96331.175
0.859548,-0.477337,0.182555,96744.2
0.860043,-0.476692,0.181907,96881.35
0.859837,-0.476481,0.183429,96638.275
0.859796,-0.476892,0.182552,96756.075
0.859625,-0.477047,0.182953,97028.675
